id,name,lang,status,phase,category,category_name,tier,countries,country_count,href,revenue,est_traffic,est_revenue,priority,is_new,pro_bundle,tool_count
farm-profit-somalia,Somalia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SO,1,/agriculture/farm-profit/somalia,Freemium,250,3,47,,,1
farm-profit-south-africa,South Africa Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ZA,1,/agriculture/farm-profit/south-africa,Freemium,700,10,60,,,1
farm-profit-south-sudan,South Sudan Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SS,1,/agriculture/farm-profit/south-sudan,Freemium,200,3,45,,,1
farm-profit-sudan,Sudan Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,SD,1,/agriculture/farm-profit/sudan,Freemium,350,5,52,,,1
farm-profit-tanzania,Tanzania Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,TZ,1,/agriculture/farm-profit/tanzania,Freemium,450,6,55,,,1
farm-profit-togo,Togo Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,TG,1,/agriculture/farm-profit/togo,Freemium,250,3,47,,,1
farm-profit-tunisia,Tunisia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,TN,1,/agriculture/farm-profit/tunisia,Freemium,350,5,52,,,1
farm-profit-uganda,Uganda Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,UG,1,/agriculture/farm-profit/uganda,Freemium,400,6,54,,,1
farm-profit-zambia,Zambia Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ZM,1,/agriculture/farm-profit/zambia,Freemium,300,4,50,,,1
farm-profit-zimbabwe,Zimbabwe Farm Profit Calculator,en,live,LIVE,agriculture,Agriculture,T3,ZW,1,/agriculture/farm-profit/zimbabwe,Freemium,350,5,52,,,1
farm-size-converter,Farm Size Converter,en,live,LIVE,agriculture,Agriculture,T3,ALL,1,/agriculture/farm-size-converter/,Freemium,8000,100,77,,,1
fertilizer-algeria,Algeria Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,DZ,1,/agriculture/fertilizer/algeria,Freemium,250,3,48,,,1
fertilizer-angola,Angola Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,AO,1,/agriculture/fertilizer/angola,Freemium,250,3,48,,,1
fertilizer-benin,Benin Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,BJ,1,/agriculture/fertilizer/benin,Freemium,250,3,48,,,1
fertilizer-botswana,Botswana Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,BW,1,/agriculture/fertilizer/botswana,Freemium,250,3,48,,,1
fertilizer-burkina-faso,Burkina Faso Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,BF,1,/agriculture/fertilizer/burkina-faso,Freemium,250,3,48,,,1
fertilizer-burundi,Burundi Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,BI,1,/agriculture/fertilizer/burundi,Freemium,250,3,48,,,1
fertilizer-cabo-verde,Cabo Verde Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,CV,1,/agriculture/fertilizer/cabo-verde,Freemium,250,3,48,,,1
fertilizer-calc,Fertilizer & Yield Calculator,en,live,LIVE,agriculture,Agriculture,T2,ALL,1,/tools/fertilizer-calc/,Freemium,5000,150,76,,,1
fertilizer-calculator,Fertilizer Calculator (NPK),en,live,LIVE,agriculture,Agriculture,T3,ALL,1,/agriculture/fertilizer/,Freemium,12000,180,80,,,55
fertilizer-cameroon,Cameroon Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,CM,1,/agriculture/fertilizer/cameroon,Freemium,250,3,48,,,1
fertilizer-central-african-republic,Central African Republic Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,CF,1,/agriculture/fertilizer/central-african-republic,Freemium,250,3,48,,,1
fertilizer-chad,Chad Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,TD,1,/agriculture/fertilizer/chad,Freemium,250,3,48,,,1
fertilizer-comoros,Comoros Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,KM,1,/agriculture/fertilizer/comoros,Freemium,250,3,48,,,1
fertilizer-congo-brazzaville,Congo-Brazzaville Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,CG,1,/agriculture/fertilizer/congo-brazzaville,Freemium,250,3,48,,,1
fertilizer-cote-d-ivoire,Côte d'Ivoire Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,CI,1,/agriculture/fertilizer/cote-d-ivoire,Freemium,250,3,48,,,1
fertilizer-djibouti,Djibouti Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,DJ,1,/agriculture/fertilizer/djibouti,Freemium,250,3,48,,,1
fertilizer-dr-congo,DR Congo Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,CD,1,/agriculture/fertilizer/dr-congo,Freemium,250,3,48,,,1
fertilizer-egypt,Egypt Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,EG,1,/agriculture/fertilizer/egypt,Freemium,250,3,48,,,1
fertilizer-equatorial-guinea,Equatorial Guinea Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,GQ,1,/agriculture/fertilizer/equatorial-guinea,Freemium,250,3,48,,,1
fertilizer-eritrea,Eritrea Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,ER,1,/agriculture/fertilizer/eritrea,Freemium,250,3,48,,,1
fertilizer-eswatini,Eswatini Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,SZ,1,/agriculture/fertilizer/eswatini,Freemium,250,3,48,,,1
fertilizer-ethiopia,Ethiopia Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,ET,1,/agriculture/fertilizer/ethiopia,Freemium,250,3,48,,,1
fertilizer-gabon,Gabon Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,GA,1,/agriculture/fertilizer/gabon,Freemium,250,3,48,,,1
fertilizer-gambia,Gambia Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,GM,1,/agriculture/fertilizer/gambia,Freemium,250,3,48,,,1
fertilizer-ghana,Ghana Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,GH,1,/agriculture/fertilizer/ghana,Freemium,250,3,48,,,1
fertilizer-guinea,Guinea Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,GN,1,/agriculture/fertilizer/guinea,Freemium,250,3,48,,,1
fertilizer-guinea-bissau,Guinea-Bissau Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,GW,1,/agriculture/fertilizer/guinea-bissau,Freemium,250,3,48,,,1
fertilizer-kenya,Kenya Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,KE,1,/agriculture/fertilizer/kenya,Freemium,250,3,48,,,1
fertilizer-lesotho,Lesotho Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,LS,1,/agriculture/fertilizer/lesotho,Freemium,250,3,48,,,1
fertilizer-liberia,Liberia Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,LR,1,/agriculture/fertilizer/liberia,Freemium,250,3,48,,,1
fertilizer-libya,Libya Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,LY,1,/agriculture/fertilizer/libya,Freemium,250,3,48,,,1
fertilizer-madagascar,Madagascar Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,MG,1,/agriculture/fertilizer/madagascar,Freemium,250,3,48,,,1
fertilizer-malawi,Malawi Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,MW,1,/agriculture/fertilizer/malawi,Freemium,250,3,48,,,1
fertilizer-mali,Mali Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,ML,1,/agriculture/fertilizer/mali,Freemium,250,3,48,,,1
fertilizer-mauritania,Mauritania Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,MR,1,/agriculture/fertilizer/mauritania,Freemium,250,3,48,,,1
fertilizer-mauritius,Mauritius Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,MU,1,/agriculture/fertilizer/mauritius,Freemium,250,3,48,,,1
fertilizer-morocco,Morocco Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,MA,1,/agriculture/fertilizer/morocco,Freemium,250,3,48,,,1
fertilizer-mozambique,Mozambique Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,MZ,1,/agriculture/fertilizer/mozambique,Freemium,250,3,48,,,1
fertilizer-namibia,Namibia Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,NA,1,/agriculture/fertilizer/namibia,Freemium,250,3,48,,,1
fertilizer-niger,Niger Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,NE,1,/agriculture/fertilizer/niger,Freemium,250,3,48,,,1
fertilizer-nigeria,Nigeria Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,NG,1,/agriculture/fertilizer/nigeria,Freemium,250,3,48,,,1
fertilizer-rwanda,Rwanda Fertilizer Calculator,en,live,LIVE,agriculture,Agriculture,T3,RW,1,/agriculture/fertilizer/rwanda,Freemium,250,3,48,,,1
