rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
42,crop-yield-nigeria-yo,Àfiyèsí èso irúgbìn,/yo/awon-ise/eso-irugbin/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,methodology; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
43,fertilizer-nigeria-yo,Iwọn ajílẹ̀ Naijiria,/yo/awon-ise/iwon-ajile/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,methodology; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
44,cassava-processing-nigeria-yo,Ṣíṣe rogo Naijiria,/yo/awon-ise/sise-rogo/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,currentYear,methodology; saveExport; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
45,hausa-translator-ha,Mai Fassara Hausa,/ha/kayan-aiki/mai-fassara-hausa/,language,Language & Translation,live,ha,81,B,standard-grade,P3-monitor,1,Language and translation utility,Google Translate; DeepL; local phrasebook sites,,browserOk,no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown
46,farm-budget-yo,Ìsúná ọ̀gbìn Naijiria,/yo/awon-ise/isuna-ogbin/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,methodology; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
47,staple-basket-yo,Àgbọn ọjà oúnjẹ,/yo/awon-ise/agbon-oja/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,methodology; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
48,commodity-prices-yo,Iye ọjà ọ̀gbìn,/yo/awon-ise/owo-oja-ogbin/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,methodology; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
49,fish-farming-nigeria-yo,Èrè oko ẹja Naijiria,/yo/awon-ise/ere-oko-eja/,agriculture,Agriculture,live,yo,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,currentYear,methodology; saveExport; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
50,seed-rate-nigeria-ha,Yawan Iri Najeriya,/ha/noma/yawan-iri-najeriya/,agriculture,Agriculture,live,ha,81,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,currentYear,methodology; saveExport; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations
51,naira-to-words-yo,Naira sí ọ̀rọ̀,/yo/awon-ise/naira-si-oro/,document-pdf,Document & PDF,live,yo,81,B,standard-grade,P3-monitor,1,PDF workflow utility,iLovePDF; Smallpdf; Adobe Acrobat online,,batchWorkflow; browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
