route,relPath,family,score,issues,evidence
"/tools/dpia-tool/","tools/dpia-tool/index.html","tools/dpia-tool","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/dpia-tool/index.html .ri-controls keeps 2 columns until no collapse rule."
"/tools/electricity-bill-verify/","tools/electricity-bill-verify/index.html","tools/electricity-bill-verify","14","missing_shared_navbar","missing_shared_navbar: tools/electricity-bill-verify/index.html Full page does not use <afro-navbar> or the shared navbar component script."
"/tools/electricity-estimator/","tools/electricity-estimator/index.html","tools/electricity-estimator","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/electricity-estimator/index.html .eb-compare keeps 2 columns until 500px."
"/tools/employment-contract/","tools/employment-contract/index.html","tools/employment-contract","42","tap_targets_below_44|late_multicolumn_collapse","tap_targets_below_44: assets/css/legal-enhancements.css .leg-workflow-next a is likely about 34px tall. || late_multicolumn_collapse: tools/employment-contract/index.html .agreement-preview .signatures keeps 2 columns until no collapse rule."
"/tools/faraid-inheritance/","tools/faraid-inheritance/index.html","tools/faraid-inheritance","118","missing_shared_foundation_css|missing_shared_navbar|tap_targets_below_44|late_multicolumn_collapse|fixed_sidebar_320plus|horizontal_overflow_risk","missing_shared_foundation_css: tools/faraid-inheritance/index.html Page does not link the shared CSS foundation or an equivalent bundled foundation. || missing_shared_navbar: tools/faraid-inheritance/index.html Full page does not use <afro-navbar> or the shared navbar component script. || tap_targets_below_44: tools/faraid-inheritance/index.html .topnav a is likely about 31.2px tall. || late_multicolumn_collapse: tools/faraid-inheritance/index.html .field-grid keeps 2 columns until 620px."
"/tools/freelance-invoice/","tools/freelance-invoice/index.html","tools/freelance-invoice","80","missing_shared_foundation_css|sub16_form_controls|tap_targets_below_44|late_multicolumn_collapse","missing_shared_foundation_css: tools/freelance-invoice/index.html Page does not link the shared CSS foundation or an equivalent bundled foundation. || sub16_form_controls: assets/css/freelance-invoice.css .fi-saved-actions button sets control text to 11.5px. || sub16_form_controls: assets/css/freelance-invoice.css .fi-panel input,.fi-panel select,.fi-panel textarea sets control text to 13.4px. || sub16_form_controls: assets/css/freelance-invoice.css .fi-items-table input,.fi-items-table select sets control text to 12.5px."
"/tools/fx-import-impact/","tools/fx-import-impact/index.html","tools/fx-import-impact","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/fx-import-impact/index.html .fx-2col keeps 2 columns until 640px."
"/tools/gas-lpg-cost/","tools/gas-lpg-cost/index.html","tools/gas-lpg-cost","20","tap_targets_below_44","tap_targets_below_44: tools/gas-lpg-cost/index.html .lpg-country-grid a is likely about 36.1px tall."
"/tools/generator-sizing/","tools/generator-sizing/index.html","tools/generator-sizing","22","late_multicolumn_collapse","late_multicolumn_collapse: tools/generator-sizing/index.html .add-appliance keeps 2 columns until no collapse rule."
"/tools/gh-ssnit/","tools/gh-ssnit/index.html","tools/gh-ssnit","24","late_multicolumn_collapse","late_multicolumn_collapse: tools/gh-ssnit/index.html .ssnit-compare keeps 2 columns until 520px. || late_multicolumn_collapse: tools/gh-ssnit/index.html .ssnit-lifetime keeps 2 columns until 520px."
"/tools/hosting-compare/","tools/hosting-compare/index.html","tools/hosting-compare","20","horizontal_overflow_risk","horizontal_overflow_risk: tools/hosting-compare/index.html table sets min-width to 980px."
