"route","file","issue_id","detail"
"/sw/eritrea/kikokotoo-kodi-mshahara/","sw/eritrea/kikokotoo-kodi-mshahara/index.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/sw/eswatini/","sw/eswatini/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/eswatini/","sw/eswatini/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/ethiopia/","sw/ethiopia/index.html","many_inline_light_backgrounds","52 inline light backgrounds may need token coverage."
"/sw/ethiopia/","sw/ethiopia/index.html","many_inline_dark_text_colors","45 inline dark text colors may clash in dark mode."
"/sw/fintech/","sw/fintech/index.html","many_inline_light_backgrounds","117 inline light backgrounds may need token coverage."
"/sw/fintech/","sw/fintech/index.html","many_inline_dark_text_colors","103 inline dark text colors may clash in dark mode."
"/sw/gabon/","sw/gabon/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/gabon/","sw/gabon/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/gambia/","sw/gambia/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/gambia/","sw/gambia/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/ghana/","sw/ghana/index.html","many_inline_light_backgrounds","143 inline light backgrounds may need token coverage."
"/sw/ghana/","sw/ghana/index.html","many_inline_dark_text_colors","108 inline dark text colors may clash in dark mode."
"/sw/ghana/kikokotoo-kodi-mshahara/","sw/ghana/kikokotoo-kodi-mshahara/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/guinea-bissau/","sw/guinea-bissau/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/guinea-bissau/","sw/guinea-bissau/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/guinea/","sw/guinea/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/guinea/","sw/guinea/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/hati-na-pdf/","sw/hati-na-pdf/index.html","many_inline_light_backgrounds","19 inline light backgrounds may need token coverage."
"/sw/kazi-na-ajira/","sw/kazi-na-ajira/index.html","many_inline_light_backgrounds","26 inline light backgrounds may need token coverage."
"/sw/kazi-na-ajira/","sw/kazi-na-ajira/index.html","many_inline_dark_text_colors","20 inline dark text colors may clash in dark mode."
"/sw/kenya/","sw/kenya/index.html","many_inline_light_backgrounds","143 inline light backgrounds may need token coverage."
"/sw/kenya/","sw/kenya/index.html","many_inline_dark_text_colors","108 inline dark text colors may clash in dark mode."
"/sw/kilimo/","sw/kilimo/index.html","many_inline_light_backgrounds","17 inline light backgrounds may need token coverage."
"/sw/kilimo/","sw/kilimo/index.html","many_inline_dark_text_colors","17 inline dark text colors may clash in dark mode."
"/sw/lesotho/","sw/lesotho/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
