route,relPath,family,issue,evidence,fixCandidates
"/faq/","faq/index.html","faq","tap_targets_below_44","faq/index.html: .faq-toc a is likely about 32.3px tall.","faq/index.html | shared 44px tap target pattern"
"/finance/","finance/index.html","finance","custom_mobile_nav_search","finance/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","finance | assets/js/components/navbar.js adoption"
"/fintech/","fintech/index.html","fintech","late_multicolumn_collapse","assets/css/fintech.css: .fin-why-grid keeps 2 columns until 480px.","assets/css/fintech.css | shared early-collapse layout pattern"
"/fr/algeria/dz-paye.html","fr/algeria/dz-paye.html","fr/country-paye","tap_targets_below_44","fr/algeria/dz-paye.html: a is likely about 39.2px tall.","fr/algeria/dz-paye.html | shared 44px tap target pattern"
"/fr/algeria/dz-paye.html","fr/algeria/dz-paye.html","fr/country-paye","custom_mobile_nav_search","fr/algeria/dz-paye.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/country-paye | assets/js/components/navbar.js adoption"
"/fr/algeria/dz-vat.html","fr/algeria/dz-vat.html","fr/algeria","tap_targets_below_44","fr/algeria/dz-vat.html: a is likely about 39.2px tall.","fr/algeria/dz-vat.html | shared 44px tap target pattern"
"/fr/algeria/dz-vat.html","fr/algeria/dz-vat.html","fr/algeria","custom_mobile_nav_search","fr/algeria/dz-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/algeria | assets/js/components/navbar.js adoption"
"/fr/algeria/","fr/algeria/index.html","fr/algeria","tap_targets_below_44","fr/algeria/index.html: a is likely about 39.2px tall.","fr/algeria/index.html | shared 44px tap target pattern"
"/fr/algeria/","fr/algeria/index.html","fr/algeria","custom_mobile_nav_search","fr/algeria/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/algeria | assets/js/components/navbar.js adoption"
"/fr/all-tools/","fr/all-tools/index.html","fr/all-tools","sub16_form_controls","fr/all-tools/index.html: .search-icon sets control text to 14.4px.","fr/all-tools/index.html | shared mobile form sizing pattern"
